lng,lat
-120.628043,40.436992
-118.766253,39.47696
-111.857109,33.285741
-111.7228,33.3843
-112.057884,33.465236
-111.877353,33.390265
-112.179674,33.609493
-104.7074468,40.415474
-104.792354,40.406613
-105.007964,40.521586
-105.051167,40.413433
-112.257546,33.478786
-112.372916,33.660209
-112.284214,33.604016
-111.565612,33.214764
-111.687551,33.41156
-111.567002,33.394765
-111.709633,32.881404
-111.463552,36.917657
111.320650,34.230133
-110.945725,32.243141
-110.929953,32.176523
-107.949441,44.012807
-101.718665,41.151451
-104.193652,42.082953
-104.960720,42.050211
-103.221063,40.612668
-103.649442,40.255949
-120.628043,40.436992
-118.766253,39.47696
-111.857109,33.285741
-111.7228,33.3843
-112.057884,33.465236
-111.877353,33.390265
-112.179674,33.609493
-104.7074468,40.415474
-104.792354,40.406613
-105.007964,40.521586
-105.051167,40.413433
-112.257546,33.478786
-112.372916,33.660209
-112.284214,33.604016
-111.565612,33.214764
-111.687551,33.41156
-111.567002,33.394765
-111.709633,32.881404
-111.463552,36.917657
111.320650,34.230133
-110.945725,32.243141
-110.929953,32.176523
-107.949441,44.012807
-101.718665,41.151451
-104.193652,42.082953
-104.960720,42.050211
-103.221063,40.612668
-103.649442,40.255949
-120.628043,40.436992
-118.766253,39.47696
-111.857109,33.285741
-111.7228,33.3843
-112.057884,33.465236
-111.877353,33.390265
-112.179674,33.609493
-104.7074468,40.415474
-104.792354,40.406613
-105.007964,40.521586
-105.051167,40.413433
-112.257546,33.478786
-112.372916,33.660209
-112.284214,33.604016
-111.565612,33.214764
-111.687551,33.41156
-111.567002,33.394765
-111.709633,32.881404
-111.463552,36.917657
111.320650,34.230133
-110.945725,32.243141
-110.929953,32.176523
-107.949441,44.012807
-101.718665,41.151451
-104.193652,42.082953
-104.960720,42.050211
-103.221063,40.612668
-103.649442,40.255949
-120.628043,40.436992
-118.766253,39.47696
-111.857109,33.285741
-111.7228,33.3843
-112.057884,33.465236
-111.877353,33.390265
-112.179674,33.609493
-104.7074468,40.415474
-104.792354,40.406613
-105.007964,40.521586
-105.051167,40.413433
-112.257546,33.478786
-112.372916,33.660209
-112.284214,33.604016
-111.565612,33.214764
-111.687551,33.41156
-111.567002,33.394765
-111.709633,32.881404
-111.463552,36.917657
111.320650,34.230133
-110.945725,32.243141
-110.929953,32.176523
-107.949441,44.012807
-101.718665,41.151451
-104.193652,42.082953
-104.960720,42.050211
-103.221063,40.612668
-103.649442,40.255949
-120.628043,40.436992
-118.766253,39.47696
-111.857109,33.285741
-111.7228,33.3843
-112.057884,33.465236
-111.877353,33.390265
-112.179674,33.609493
-104.7074468,40.415474
-104.792354,40.406613
-105.007964,40.521586
-105.051167,40.413433
-112.257546,33.478786
-112.372916,33.660209
-112.284214,33.604016
-111.565612,33.214764
-111.687551,33.41156
-111.567002,33.394765
-111.709633,32.881404
-111.463552,36.917657
111.320650,34.230133
-110.945725,32.243141
-110.929953,32.176523
-107.949441,44.012807
-101.718665,41.151451
-104.193652,42.082953
-104.960720,42.050211
-103.221063,40.612668
-103.649442,40.255949
-120.628043,40.436992
-118.766253,39.47696
-111.857109,33.285741
-111.7228,33.3843
-112.057884,33.465236
-111.877353,33.390265
-112.179674,33.609493
-104.7074468,40.415474
-104.792354,40.406613
-105.007964,40.521586
-105.051167,40.413433
-112.257546,33.478786
-112.372916,33.660209
-112.284214,33.604016
-111.565612,33.214764
-111.687551,33.41156
-111.567002,33.394765
-111.709633,32.881404
-111.463552,36.917657
111.320650,34.230133
-110.945725,32.243141
-110.929953,32.176523
-107.949441,44.012807
-101.718665,41.151451
-104.193652,42.082953
-104.960720,42.050211
-103.221063,40.612668
-103.649442,40.255949
-120.628043,40.436992
-118.766253,39.47696
-111.857109,33.285741
-111.7228,33.3843
-112.057884,33.465236
-111.877353,33.390265
-112.179674,33.609493
-104.7074468,40.415474
-104.792354,40.406613
-105.007964,40.521586
-105.051167,40.413433
-112.257546,33.478786
-112.372916,33.660209
-112.284214,33.604016
-111.565612,33.214764
-111.687551,33.41156
-111.567002,33.394765
-111.709633,32.881404
-111.463552,36.917657
111.320650,34.230133
-110.945725,32.243141
-110.929953,32.176523
-107.949441,44.012807
-101.718665,41.151451
-104.193652,42.082953
-104.960720,42.050211
-103.221063,40.612668
-103.649442,40.255949
-120.628043,40.436992
-118.766253,39.47696
-111.857109,33.285741
-111.7228,33.3843
-112.057884,33.465236
-111.877353,33.390265
-112.179674,33.609493
-104.7074468,40.415474
-104.792354,40.406613
-105.007964,40.521586
-105.051167,40.413433
-112.257546,33.478786
-112.372916,33.660209
-112.284214,33.604016
-111.565612,33.214764
-111.687551,33.41156
-111.567002,33.394765
-111.709633,32.881404
-111.463552,36.917657
111.320650,34.230133
-110.945725,32.243141
-110.929953,32.176523
-107.949441,44.012807
-101.718665,41.151451
-104.193652,42.082953
-104.960720,42.050211
-103.221063,40.612668
-103.649442,40.255949
-120.628043,40.436992
-118.766253,39.47696
-111.857109,33.285741
-111.7228,33.3843
-112.057884,33.465236
-111.877353,33.390265
-112.179674,33.609493
-104.7074468,40.415474
-104.792354,40.406613
-105.007964,40.521586
-105.051167,40.413433
-112.257546,33.478786
-112.372916,33.660209
-112.284214,33.604016
-111.565612,33.214764
-111.687551,33.41156
-111.567002,33.394765
-111.709633,32.881404
-111.463552,36.917657
111.320650,34.230133
-110.945725,32.243141
-110.929953,32.176523
-107.949441,44.012807
-101.718665,41.151451
-104.193652,42.082953
-104.960720,42.050211
-103.221063,40.612668
-103.649442,40.255949
-120.628043,40.436992
-118.766253,39.47696
-111.857109,33.285741
-111.7228,33.3843
-112.057884,33.465236
-111.877353,33.390265
-112.179674,33.609493
-104.7074468,40.415474
-104.792354,40.406613
-105.007964,40.521586
-105.051167,40.413433
-112.257546,33.478786
-112.372916,33.660209
-112.284214,33.604016
-111.565612,33.214764
-111.687551,33.41156
-111.567002,33.394765
-111.709633,32.881404
-111.463552,36.917657
111.320650,34.230133
-110.945725,32.243141
-110.929953,32.176523
-107.949441,44.012807
-101.718665,41.151451
-104.193652,42.082953
-104.960720,42.050211
-103.221063,40.612668
-103.649442,40.255949
-120.628043,40.436992
-118.766253,39.47696
-111.857109,33.285741
-111.7228,33.3843
-112.057884,33.465236
-111.877353,33.390265
-112.179674,33.609493
-104.7074468,40.415474
-104.792354,40.406613
-105.007964,40.521586
-105.051167,40.413433
-112.257546,33.478786
-112.372916,33.660209
-112.284214,33.604016
-111.565612,33.214764
-111.687551,33.41156
-111.567002,33.394765
-111.709633,32.881404
-111.463552,36.917657
111.320650,34.230133
-110.945725,32.243141
-110.929953,32.176523
-107.949441,44.012807
-101.718665,41.151451
-104.193652,42.082953
-104.960720,42.050211
-103.221063,40.612668
-103.649442,40.255949
-120.628043,40.436992
-118.766253,39.47696
-111.857109,33.285741
-111.7228,33.3843
-112.057884,33.465236
-111.877353,33.390265
-112.179674,33.609493
-104.7074468,40.415474
-104.792354,40.406613
-105.007964,40.521586
-105.051167,40.413433
-112.257546,33.478786
-112.372916,33.660209
-112.284214,33.604016
-111.565612,33.214764
-111.687551,33.41156
-111.567002,33.394765
-111.709633,32.881404
-111.463552,36.917657
111.320650,34.230133
-110.945725,32.243141
-110.929953,32.176523
-107.949441,44.012807
-101.718665,41.151451
-104.193652,42.082953
-104.960720,42.050211
-103.221063,40.612668
-103.649442,40.255949
-120.628043,40.436992
-118.766253,39.47696
-111.857109,33.285741
-111.7228,33.3843
-112.057884,33.465236
-111.877353,33.390265
-112.179674,33.609493
-104.7074468,40.415474
-104.792354,40.406613
-105.007964,40.521586
-105.051167,40.413433
-112.257546,33.478786
-112.372916,33.660209
-112.284214,33.604016
-111.565612,33.214764
-111.687551,33.41156
-111.567002,33.394765
-111.709633,32.881404
-111.463552,36.917657
111.320650,34.230133
-110.945725,32.243141
-110.929953,32.176523
-107.949441,44.012807
-101.718665,41.151451
-104.193652,42.082953
-104.960720,42.050211
-103.221063,40.612668
-103.649442,40.255949
-120.628043,40.436992
-118.766253,39.47696
-111.857109,33.285741
-111.7228,33.3843
-112.057884,33.465236
-111.877353,33.390265
-112.179674,33.609493
-104.7074468,40.415474
-104.792354,40.406613
-105.007964,40.521586
-105.051167,40.413433
-112.257546,33.478786
-112.372916,33.660209
-112.284214,33.604016
-111.565612,33.214764
-111.687551,33.41156
-111.567002,33.394765
-111.709633,32.881404
-111.463552,36.917657
111.320650,34.230133
-110.945725,32.243141
-110.929953,32.176523
-107.949441,44.012807
-101.718665,41.151451
-104.193652,42.082953
-104.960720,42.050211
-103.221063,40.612668
-103.649442,40.255949
-120.628043,40.436992
-118.766253,39.47696
-111.857109,33.285741
-111.7228,33.3843
-112.057884,33.465236
-111.877353,33.390265
-112.179674,33.609493
-104.7074468,40.415474
-104.792354,40.406613
-105.007964,40.521586
-105.051167,40.413433
-112.257546,33.478786
-112.372916,33.660209
-112.284214,33.604016
-111.565612,33.214764
-111.687551,33.41156
-111.567002,33.394765
-111.709633,32.881404
-111.463552,36.917657
111.320650,34.230133
-110.945725,32.243141
-110.929953,32.176523
-107.949441,44.012807
-101.718665,41.151451
-104.193652,42.082953
-104.960720,42.050211
-103.221063,40.612668
-103.649442,40.255949
-120.628043,40.436992
-118.766253,39.47696
-111.857109,33.285741
-111.7228,33.3843
-112.057884,33.465236
-111.877353,33.390265
-112.179674,33.609493
-104.7074468,40.415474
-104.792354,40.406613
-105.007964,40.521586
-105.051167,40.413433
-112.257546,33.478786
-112.372916,33.660209
-112.284214,33.604016
-111.565612,33.214764
-111.687551,33.41156
-111.567002,33.394765
-111.709633,32.881404
-111.463552,36.917657
111.320650,34.230133
-110.945725,32.243141
-110.929953,32.176523
-107.949441,44.012807
-101.718665,41.151451
-104.193652,42.082953
-104.960720,42.050211
-103.221063,40.612668
-103.649442,40.255949
-120.628043,40.436992
-118.766253,39.47696
-111.857109,33.285741
-111.7228,33.3843
-112.057884,33.465236
-111.877353,33.390265
-112.179674,33.609493
-104.7074468,40.415474
-104.792354,40.406613
-105.007964,40.521586
-105.051167,40.413433
-112.257546,33.478786
-112.372916,33.660209
-112.284214,33.604016
-111.565612,33.214764
-111.687551,33.41156
-111.567002,33.394765
-111.709633,32.881404
-111.463552,36.917657
111.320650,34.230133
-110.945725,32.243141
-110.929953,32.176523
-107.949441,44.012807
-101.718665,41.151451
-104.193652,42.082953
-104.960720,42.050211
-103.221063,40.612668
-103.649442,40.255949
-120.628043,40.436992
-118.766253,39.47696
-111.857109,33.285741
